iter	Passed	Remaining
0	2	2012
1	4	2075
2	6	2086
3	8	2036
4	10	1990
5	11	1985
6	14	1992
7	15	1941
8	17	1924
9	19	1927
10	21	1917
11	22	1892
12	24	1869
13	27	1904
14	28	1903
15	30	1895
16	32	1852
17	33	1832
18	35	1817
19	36	1804
20	39	1820
21	40	1818
22	42	1817
23	44	1823
24	46	1822
25	48	1823
26	50	1829
27	52	1833
28	54	1832
29	56	1831
30	58	1839
31	61	1847
32	62	1843
33	64	1836
34	66	1837
35	68	1837
36	70	1828
37	72	1829
38	74	1839
39	76	1833
40	78	1839
41	80	1836
42	82	1830
43	84	1834
44	86	1834
45	88	1843
46	90	1840
47	92	1835
48	94	1839
49	96	1840
50	98	1836
51	100	1833
52	102	1824
53	103	1817
54	105	1814
55	107	1815
56	109	1804
57	110	1796
58	112	1793
59	114	1787
60	116	1789
61	119	1802
62	120	1798
63	123	1807
64	125	1802
65	127	1807
66	129	1801
67	131	1795
68	133	1795
69	134	1790
70	136	1786
71	138	1783
72	140	1782
73	141	1775
74	144	1778
75	145	1773
76	147	1766
77	150	1783
78	152	1778
79	154	1774
80	156	1771
81	158	1769
82	159	1764
83	161	1763
84	163	1760
85	165	1759
86	167	1758
87	169	1758
88	171	1755
89	173	1754
90	175	1754
91	177	1755
92	179	1754
93	182	1756
94	183	1752
95	185	1748
96	187	1744
97	188	1739
98	190	1737
99	192	1736
100	194	1733
101	196	1733
102	198	1731
103	200	1731
104	202	1728
105	204	1726
106	206	1723
107	208	1719
108	209	1716
109	212	1719
110	214	1720
111	217	1721
112	219	1719
113	221	1719
114	223	1718
115	224	1714
116	226	1711
117	229	1712
118	231	1714
119	233	1709
120	234	1705
121	236	1700
122	238	1697
123	240	1695
124	241	1688
125	242	1685
126	245	1686
127	247	1683
128	248	1679
129	250	1676
130	252	1674
131	254	1672
132	256	1668
133	258	1668
134	260	1667
135	261	1662
136	263	1662
137	265	1660
138	267	1658
139	269	1656
140	271	1653
141	273	1652
142	275	1651
143	277	1649
144	279	1647
145	281	1645
146	283	1644
147	285	1642
148	287	1641
149	289	1639
150	291	1638
151	294	1642
152	296	1641
153	298	1640
154	300	1638
155	302	1635
156	303	1631
157	305	1629
158	307	1628
159	309	1625
160	311	1625
161	313	1620
162	315	1618
163	316	1614
164	318	1609
165	320	1607
166	322	1608
167	324	1605
168	326	1605
169	328	1603
170	330	1602
